parameter,comment,options,label
X,{ndarray dataframe} of shape (n_samples n_features) The input samples.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
reset,bool Whether to reset the `feature_names_in_` attribute. If False the input will be checked for consistency with feature names of data provided when reset was last True.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
X,array-like of shape (n_samples n_features) Test samples.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
y,Ignored Not used present for API consistency by convention.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
i,int The index of the cluster.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
i,int The index of the cluster.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
i,int The index of the cluster.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
data,array-like of shape (n_samples n_features) The data.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
X,array-like of shape (n_samples n_features) Input samples.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
y,array-like of shape (n_samples) or (n_samples n_outputs) default=None Target values (None for unsupervised transformations).,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,numpy
**fit_params,dict Additional fit parameters.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
input_features,array-like of str or None default=None,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,builtin
estimator,object Estimator object to test.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,local
estimator,estimator instance Estimator object to test.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,local
estimator,estimator instance Estimator object to test.,copy warnings collections.defaultdict platform inspect re numpy None.__version__ _config.get_config utils._IS_32BIT utils._set_output._SetOutputMixin utils._tags._DEFAULT_TAGS exceptions.InconsistentVersionWarning utils.validation.check_X_y utils.validation.check_array utils.validation._check_y utils.validation._num_features utils.validation._check_feature_names_in utils.validation._generate_get_feature_names_out utils.validation.check_is_fitted utils.validation._get_feature_names utils._estimator_html_repr.estimator_html_repr utils._param_validation.validate_parameter_constraints utils._pprint._EstimatorPrettyPrinter metrics.accuracy_score metrics.r2_score,local
X,array-like of shape (n_samples n_features) The input samples.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,array-like of shape (n_samples n_features) The input samples.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,array-like of shape (n_samples n_features) The input samples.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,array-like of shape (n_samples n_features) The input samples.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) Training vectors where `n_samples` is the number of samples and `n_features` is the number of features. Here each feature of X is assumed to be from a different categorical distribution. It is further assumed that all categories of each feature are represented by the numbers 0 ... n - 1 where n refers to the total number of categories for the given feature. This can for instance be achieved with the help of OrdinalEncoder.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
y,array-like of shape (n_samples) Target values.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
sample_weight,array-like of shape (n_samples) default=None Weights applied to individual samples (1. for unweighted).,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
n_past,int Number of samples represented in old mean and variance. If sample weights were given this should contain the sum of sample weights represented in old mean and variance.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,builtin
mu,array-like of shape (number of Gaussians) Means for Gaussians in original set.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
var,array-like of shape (number of Gaussians) Variances for Gaussians in original set.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
sample_weight,array-like of shape (n_samples) default=None Weights applied to individual samples (1. for unweighted).,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,{array-like sparse matrix} of shape (n_samples n_features) Training vectors where `n_samples` is the number of samples and `n_features` is the number of features. Here each feature of X is assumed to be from a different categorical distribution. It is further assumed that all categories of each feature are represented by the numbers 0 ... n - 1 where n refers to the total number of categories for the given feature. This can for instance be achieved with the help of OrdinalEncoder.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
y,array-like of shape (n_samples) Target values.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
classes,array-like of shape (n_classes) default=None List of all the classes that can possibly appear in the y vector.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
sample_weight,array-like of shape (n_samples) default=None Weights applied to individual samples (1. for unweighted).,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
X,array-like of shape (n_samples n_features) Training vectors where `n_samples` is the number of samples and `n_features` is the number of features.,warnings abc.ABCMeta abc.abstractmethod numbers.Real numbers.Integral numpy scipy.special.logsumexp base.BaseEstimator base.ClassifierMixin preprocessing.binarize preprocessing.LabelBinarizer preprocessing.label_binarize utils.extmath.safe_sparse_dot utils.multiclass._check_partial_fit_first_call utils.validation.check_is_fitted utils.validation.check_non_negative utils.validation._check_sample_weight utils._param_validation.Interval utils._param_validation.Hidden utils._param_validation.StrOptions,numpy
